tytuł;klasa;katsiedlecki;nr;tonacja;naco;tekst
Chwała Ojcu i Synowi;2;;;Es;0/0/0/0/1/0;"Chwała Ojcu i Synowi,
i Duchowi Świętemu,
jak była na początku,
teraz, i zawsze, i na wieki wieków. Amen."
Cicha noc;6;Pieśni na Boże Narodzenie;201;G;0/0/0/0/0/0;"1.
Cicha noc, święta noc! * Pokój niesie ludziom wszem,
a u żłóbka Matka Święta * czuwa sama uśmiechnięta * nad Dzieciątka snem
2.
Cicha noc, święta noc, * pastuszkowie od swych trzód
biegną wielce zadziwieni * za anielskich głosem pieni, * gdzie się spełnił cud
3.
Cicha noc, święta noc, * narodzony Boży Syn, 
Pan Wielkiego Majestatu * niesie dziś całemu światu * odkupienie win"
Ciebie na wieki;3;Pieśni ku czci NMP;1281;F;0/0/0/0/1/0;"1.
Ciebie na wieki wychwalać będziemy,
Królowo nieba, Maryjo!
W Twojej opiece niechaj zostajemy,
śliczna, bez zmazy, Lilijo!
*
Wdzięczna Estero, o Panienko Święta,
tyś przez aniołów jest do nieba wzięta;
Niepokalanie Poczęta!
2.
Na każdy moment, na każdą godzinę
Twojej pomocy żądamy;
Pani anielska, odproś naszą winę,
do Ciebie grzeszni wzdychamy.
*
O furto rajska! Ucieczko grzeszników!
O Matko Boska! Ratuj niewolników!
Niepokalanie Poczęta!
3.
Masz berło w ręce, znać, żeś Monarchinią,
masz drugie: Syna swojego;
zjednaj nam łaskę w ostatnią godzinę,
w on dzień skonania naszego.
*
Niech Cię chwalimy z Synem Twym społecznie,
jak teraz w życiu, tak i potem wiecznie,
Niepokalanie Poczęta!"
Ciebie, Boga, wysławiamy;2;Hymny;1309;d;0/0/0/1/0/Te Deum;"1.
Ciebie, Boga, wysławiamy,
Tobie, Panu, wieczna chwała
Ciebie, Ojca, niebios bramy
Ciebie wielbi ziemia cała.
2.
Tobie wszyscy aniołowie
Tobie moce i niebiosy
cheruby, Serafinowie
ślą wieczystej pieśni głosy:
3.
Święty, Święty, nad Świętymi
Bóg Zastępów, Król łaskawy,
pełne niebo z kręgiem ziemi
majestatu Twojej sławy.
4.
Apostołów Tobie rzesza,
chór proroków, pełen chwały,
Tobie hołdy nieść pośpiesza
męczenników orszak biały.
5.
Ciebie, poprzez okrąg ziemi,
z głębi serca, ile zdoła,
głosy ludów zgodzonymi
wielbi święta pieśń Kościoła.
6.
Niezmierzonej Ojca chwały,
Syna, Słowo wiekuiste,
z Duchem, wszechświat wielbi cały:
Królem chwały Tyś, o Chryste!
7.
Tyś Rodzica Syn z wiek wieka.
By świat zbawić swoim zgonem,
przyoblókłszy się w człowieka,
nie wzgardziłeś Panny łonem.
8.
Tyś pokruszył śmierci wrota,
starł jej oścień w męki dobie
i rajskiego kraj żywota
otworzyłeś wiernym sobie.
9.
Po prawicy siedzisz Boga,
w chwale Ojca, Syn jedyny,
lecz gdy zabrzmi trąba sroga,
przyjdziesz sądzić ludzkie czyny.
10.
Prosim, słudzy łask niegodni,
wspomóż, obmyj grzech, co plami,
gdyś odkupił nas od zbrodni
drogiej swojej Krwi strugami.
11.
Ze świętymi, w blaskach mocy,
wiecznej chwały zlej nam zdroje,
zbaw, o Panie, lud sierocy,
błogosław dziedzictwo swoje!
12.
Rządź je, broń po wszystkie lata,
prowadź w niebios błogie bramy.
My w dzień każdy, Władco świata,
imię Twoje wysławiamy.
13.
Po wiek wieków nie ustanie
pieśń, co sławi Twoje czyny.
O, w dniu onym racz nas, Panie,
od wszelakiej ustrzec winy.
14.
Zjaw swą litość w życiu całym
tym, co żebrzą Twej opieki;
w Tobie, Panie, zaufałem,
nie zawstydzę się na wieki."
Ciebie wzywamy;2;Pieśni do Trójcy Przenajświętszej;;d;1/0/0/0/0/0;"1.
Ciebie wzywamy, Ciebie błagamy, * o błogosławiona Trójco!
Ratuj stworzenie, daj opatrzenie, * o błogosławiona Trójco!
2.
Wlej Ducha Twego do serca mego, * o błogosławiona Trójco!
Wspomóż w potrzebie proszących Ciebie, * o błogosławiona Trójco!
3.
Daj dar miłości i pobożności, * o błogosławiona Trójco!
Szczęść zebranemu ludowi Twemu, * o błogosławiona Trójco!
4.
Odpuść nam złości dla Twej miłości, * o błogosławiona Trójco!
Oddal głód, wojny, daj czas spokojny, * o błogosławiona Trójco!
5.
Strzeż nas żyjących, broń konających, * o błogosławiona Trójco!
Daj nam być w niebie, prosimy Ciebie, * o błogosławiona Trójco!"
Com przyrzekł Bogu;2;Sakramenty i sakramentalia;216;C;0/1/1/0/0/Chrzest;"1.
Com przyrzekł Bogu przy chrzcie raz,
dotrzymać pragnę szczerze;
Kościoła słuchać w każdy czas
i w świętej wytrwać wierze.
*
O, Panie, Boże, dzięki Ci,
żeś mi Kościoła otwarł drzwi.
W nim żyć, umierać pragnę.
2.
W Kościele tym jest z Ciałem, Krwią,
Bóg pod postacią chleba.
Swym Ciałem karmi duszę mą,
by żyła w Nim dla nieba.
*
W to wierzyć zawsze mocno chcę,
bo tego Kościół uczy mnie.
W Nim żyć umierać pragnę."
Cóż Ci, Jezu, damy;1;Pieśni przygodne;218;D;0/1/0/1/1/0;"1.
Cóż Ci, Jezu, damy za Twych łask strumienie
Z serca Ci składamy korne dziękczynienie
*
Panie nasz, króluj nam, Boże nasz, króluj nam
Poprzez wieczny czas króluj, Jezu, nam
2.
W serca Twego ranie, o serc naszych Królu
Pokój i wytrwanie, ukojenie w bólu
*
Panie nasz, króluj nam…
3.
Ty nas wspieraj w znoju, strzeż przez życie całe
Byśmy w serc pokoju Twą wielbili chwałę
*
Panie nasz, króluj nam…"
Czego chcesz od nas, Panie;1;Pieśni przygodne;224;D;0/0/0/1/0/0;"1.
Czego chcesz od nas, Panie, za Twe hojne dary
Czego za dobrodziejstwa, którym nie masz miary
Kościół Cię nie ogarnie, wszędy pełno Ciebie
I w otchłani i w morzu, na ziemi i w niebie
2.
Złota też, wiem, nie pragniesz, bo to wszystko Twoje
Cokolwiek na tym świecie człowiek mieni swoje
Wdzięcznym Cię tedy sercem, Panie, wyznawamy
Bo nadto przystojniejszej ofiary nie mamy
3.
Tyś Pan wszelkiego świata, Tyś niebo zbudował
I złotymi gwiazdami ślicznieś uhaftował
Tyś fundament założył nieobeszłej ziemi
I przykryłeś jej nagość zioły rozlicznymi
4.
Bądź na wieki pochwalon, nieśmiertelny Panie
Twoja łaska, Twoja dobroć nigdy nie ustanie
Chowaj nas, póki raczysz, na tej niskiej ziemi
Jeno zawżdy niech będziem pod skrzydłami Twymi"
Czekam na Ciebie, dobry Boże;1;;225;a;0/0/1/0/0/0;"1.
Czekam na Ciebie, dobry Boże,
przyjdź do mnie, Panie, pośpiesz się,
niechaj mi łaska Twa pomoże,
chcę czystym sercem przyjąć Cię.
*
Przyjdź do mnie Panie, mój dobry Boże,
przyjdź i nie spóźniaj się.
Przyjdź do mnie Panie, przyjdź z łaską swoją,
przyjdź i nie spóźniaj się.
2.
Wśród licznych trosk i niepokojów,
kiedy już sił nie starcza nam,
karmisz nas, Panie, swoim Ciałem,
Tyś nasza moc, nasz Bóg i Pan
*
Przyjdź do mnie Panie..."
Czekam na Ciebie, Jezu mój mały;5;Pieśni na Adwent;226;h;0/0/0/0/0/do 16 grudnia;"1.
Czekam na Ciebie, Jezu mój mały,
ciche błagania ku niebu ślę.
Twojego przyjścia czeka świat cały,
sercem gorącym przyzywa Cię.
*
Spójrz, tęskniony na tej ziemi,
przybądź, Jezu, pociesz nas!
Szczerze kochać Cię będziemy,
przyjdź, o Jezu, bo już czas!
2.
Usłysz, Maryjo, głos Twoich dzieci,
Tyś naszą Matką na każdy dzień.
O, daj nam Słońce, które rozświeci
grzechu i błędu straszliwy cień.
*
Spójrz, tęskniony na tej ziemi,
daj nam Zbawcę, Dziecię Twe.
My dla Niego żyć pragniemy,
Jemu damy serca swe."
Cześć Maryi;3;Pieśni ku czci NMP;229;C;1/0/0/1/0/0;"1.
Cześć Maryi, cześć i chwała
Pannie świętej cześć
= Śpiewaj, śpiewaj, ziemio cała
Hołd jej śpiesz
2.
Jej to ręce piastowały
Tego, co ten świat
= Stworzył wielki i wspaniały
Syn Jej, a nasz brat
3.
On jak matkę Ją miłował
Jej posłusznym był
= Każde słowo Jej szanował
Chociaż Bogiem był
4.
Dziatki lube, jeśli chcecie
Błogi żywot mieć
= Jako święte Jezus Dziecię
Marię chciejcie czcić
5.
Czystość, cichość i pokora
To Maryi strój
= Przez nie miła niebios Córa
Łask zyskała zdrój
6.
Ten Maryi, dziatwo droga
W sercu obraz noś
= O opiekę Matki Boga
Zawsze kornie proś"
Do Ciebie, Matko;3;Pieśni ku czci NMP;240;Es;0/0/1/0/1/0;"1.
Do Ciebie, Matko, szafarko łask,
błagalne pienia wciąż płyną.
Twa dobroć świeci nad słońca blask,
nadzieją Tyś nam jedyną.
*
W cierpienia czas pomocą darz
i nieustannie ratuj nas.
2.
Gdy Twojej chwały niebieski tron,
daleki duszy cierpiącej,
spoglądnij na nas przez obraz on
Pomocy Nieustającej.
*
W cierpienia czas pomocą darz…
3.
Twe oczy jakże łaskawe są,
pociąga słodycz z nich Twoja,
ufamy mocno, że ulżysz łzom
i wsparciem staniesz się w znojach
*
W cierpienia czas pomocą darz…"
Do Serca Twojego;2;Nabożeństwa;;c;0/0/0/0/0/Czerwcowe;"Do Serca Twojego • uciekamy się • Jezu, Boski Zbawicielu.
Naszymi grzechami • racz się nie zrażać, • o Panie święty
ale od wszelakich złych czynów • racz nas zawsze zachować, • Boże łaskawy • i najlitościwszy
O Jezu, o Jezu, o Jezu dobry, • Zbawicielu słodki • Pośredniku Boski • jedyna ucieczko nasza!
W Sercu Twoim racz nas obmyć • Do Serca Twojego racz nas przytulić • W Twym Sercu na wieki racz nas zachować.
O Jezu, o Jezu, o Jezu dobry, • Zbawicielu słodki • Pośredniku Boski • jedyna ucieczko nasza!"
Do szopy, hej, pasterze;6;Pieśni na Boże Narodzenie;245;Es;0/0/0/0/0/0;"1.
Do szopy, hej, pasterze, do szopy, bo tam cud.
Syn Boży w żłobie leży, by zbawić ludzki ród.
Śpiewajcie, aniołowie, pasterze grajcie Mu,
kłaniajcie się królowie, nie budźcie Go ze snu.
2.
Padnijmy na kolana, to Dziecię to nasz Bóg.
Witajmy swego Pana, wdzięczności złóżmy dług.
*
Śpiewajcie, aniołowie, pasterze grajcie Mu...
3.
O Boże niepojęty, kto pojmie miłość Twą?
Na sianie wśród bydlęty masz tron i służbę swą.
*
Śpiewajcie, aniołowie, pasterze grajcie Mu...
4.
On Ojcu równy w Bóstwie opuszcza niebo swe,
a rodzi się w ubóstwie i cierpi wszystko złe.
*
Śpiewajcie, aniołowie, pasterze grajcie Mu..."
Do Twej dążym kaplicy;3;Pieśni ku czci NMP;246;G;0/0/0/0/1/0;"1.
Do Twej dążym kaplicy
Co z brzegu czeka nas
Wśród wichrów nawałnicy
W pochmurny, słotny czas
Byśmy tam wciąż dążyli
I nigdy nie zbłądzili
Maryjo, Maryjo, o Maryjo, świeć
2.
Jak cudnie w zmierzchu cieni
Twój obraz w sercu lśni
Wód kryształ się rumieni
Na nim Twój promień drży
O Jutrznio powstająca
O Gwiazdo z chmur świecąca
Maryjo, Maryjo, o Maryjo, świeć"
Dobranoc Głowo święta;7;;250;Es;0/0/0/0/0/0;"1.
Dobranoc, Głowo święta Jezusa mojego
Która była zraniona do mózgu samego
*
Dobranoc, kwiecie różany,
dobranoc, Jezu kochany, dobranoc
Dobranoc, śliczna lilija,
Jezus, Józef i Maryja, dobranoc
2.
Dobranoc, włosy święte, mocno potargane
Które były najświętszą Krwią zafarbowane
*
Dobranoc, kwiecie różany…"
Dobry Jezu, a nasz Panie;2;Pieśni za zmarłych;;c;0/0/0/0/0/Pogrzebowo;Dobry Jezu, a nasz Panie • Daj im wieczne spoczywanie.
Duszo moja;2;Pieśni ku czci św. Józefa;279;Es;1/0/1/1/0/0;"1.
Duszo moja, niech pieśń twoja 
głosi Józefowi cześć.
On wybrany, niezrównany,
więc mu hołdy trzeba nieść.
*
Z nami chwałę niebo całe,
niech u Bożych złoży nóg,
że bez miary swoje dary
na Józefa rozlał Bóg.
2.
On w świętości i czystości
po Maryi pierwszym był,
przy Panience on w stajence
pierwszy Boże Dziecię czcił.
*
Z nami chwałę niebo całe…
3.
Na swym łonie jak na tronie
Króla niebios Józef niósł;
w Nazarecie Boskie Dziecię,
słodki Jezus przy nim rósł. 
*
Z nami chwałę niebo całe…"
Dzięki Ci, Panie;1;;285;a;0/0/0/1/0/0;"*
= Dzięki Ci, Panie, za Ciało Twe i Krew
Za dary nieskończone wielbimy Cię
**
1.
Chwalimy Cię, wszechmocny, za dary Twe nieskończone
Za Ciało i Twoją Krew
Przebacz w swojej dobroci tym, co Ciebie niegodni
Kiedy do Twego stołu się zbliżamy
*
Dzięki Ci, Panie, za Ciało Twe i Krew…
2.
Przebacz, żeś hojny i wierny
Uwolnij z więzów grzechu
Byśmy się odmienili
Przez tajemnice najświętsze 
*
Dzięki Ci, Panie, za Ciało Twe i Krew…
3.
?
4.
?
5.
?"
Dzięki, o Panie;1;Pieśni przygodne;287;F;0/0/0/1/0/0;"*
Dzięki, o Panie
składamy dzięki
o Wszechmogący nasz Królu w niebie
**
1.
Za to, że dałeś nam wiarę
Za to, że dałeś nam miłość
*
Dzięki, o Panie…
2.
Za to, że dałeś nam siebie
Za to że jesteś z nami 
*
Dzięki, o Panie…
3.
Ty nam przebaczasz grzechy
Ty nam przywracasz życie 
*
Dzięki, o Panie…
4.
Tobie śpiewamy z radością
Ciebie wielbimy bez końca 
*
Dzięki, o Panie…"
Dziękujemy Ci, Ojcze nasz;1;Pieśni przygodne;289;B;0/0/0/1/0/0;"1.
Dziękujemy Ci, Ojcze nasz
Za święty winny szczep Dawida 
Który nam poznać dałeś
Przez Jezusa, Syna Twego
Tobie chwała na wieki
2.
Dziękujemy Ci, Ojcze nasz
Za życie i za wiarę
Którą nam poznać dałeś
Przez Jezusa, Syna Twego
Tobie chwała na wieki
3.
Dziękujemy Ci, Ojcze nasz
Za święte imię Twoje
Któremu zgotowałeś
Mieszkanie w sercach naszych 
Tobie chwała na wieki
4.
Dziękujemy Ci, Ojcze nasz
Za wiarę i za nieśmiertelność
Którą nam poznać dałeś
Przez Jezusa, Syna Twego 
Tobie chwała na wieki
5.
Ty, o Panie wszechmocny
Stworzyłeś wszystko dla imienia swego
Pokarm i napój dałeś
Ludziom na pożywienie 
Tobie chwała na wieki
6.
Nam zaś darowałeś
Pokarm duchowy oraz napój
I żywot wieczny
Przez Jezusa, Syna Twego 
Tobie chwała na wieki
7.
Pomnij, Panie, na Twój Kościół
I wybaw go od wszelkiego złego
I doprowadź go w miłości swojej
Do Królestwa Twego 
Tobie chwała na wieki
8.
Niechaj przyjdzie Twa łaska
I niech przeminie ten świat
Kto święty, niech przystąpi
Kto nim nie jest, niech czyni pokutę 
Tobie chwała na wieki"
Dzisiaj w Betlejem;6;Pieśni na Boże Narodzenie;300;D;0/0/0/0/0/0;"1.
Dzisiaj w Betlejem, dzisiaj w Betlejem wesoła nowina,
że Panna czysta, że Panna czysta porodziła Syna.
*
Chrystus się rodzi, nas oswobodzi,
anieli grają, króle witają,
pasterze śpiewają, bydlęta klękają,
cuda, cuda ogłaszają.
2.
Maryja Panna, Maryja Panna Dzieciątko piastuje
i Józef Święty, i Józef Święty Ono pielęgnuje.
*
Chrystus się rodzi, nas oswobodzi...
3.
Choć w stajeneczce, choć w stajeneczce Panna Syna rodzi,
przecież On wkrótce, przecież On wkrótce ludzi oswobodzi.
*
Chrystus się rodzi, nas oswobodzi...
4.
I Trzej Królowie, i Trzej Królowie od wschodu przybyli
i dary Panu, i dary Panu kosztowne złożyli.
*
Chrystus się rodzi, nas oswobodzi..."
Dziś Chrystus Król;8;Pieśni na Wielkanoc;294;F;0/0/1/0/0/0;
Dziś moją duszę;2;Nabożeństwa;297;D;0/0/0/0/0/Pogrzebowo;"*
Dziś moją duszę w ręce Twe powierzam
Mój Stworzycielu i najlepszy Ojcze
Do domu wracam jak strudzony pielgrzym
A Ty z miłością przyjmij mnie z powrotem
**
1.
Stanę przed Stwórcą i przed moim Bogiem
On mnie z miłości wezwał do istnienia
Tchnął swego Ducha, stworzył na swój obraz
Jak własne dziecko znał mnie po imieniu
*
Dziś moją duszę w ręce Twe powierzam…
2.
Wstyd mnie ogarnia, że przed Tobą stanę
Tak niepodobny, Boże mój, do Ciebie
Nie karz mnie za to zbyt surowym sądem
Rozpoznaj, Ojcze, swoje dziecko we mnie 
*
Dziś moją duszę w ręce Twe powierzam…
3.
Tułaczka moja już dobiegła kresu
Dla moich oczu słońce ziemi zgasło
W Tobie, mój Panie, znajdę pokój wieczny
Ty będziesz dla mnie nie gasnącym światłem 
*
Dziś moją duszę w ręce Twe powierzam…"
Gdy klęczę przed Tobą;3;;306;F;0/0/0/0/1/0;"1.
Gdy klęczę przed Tobą,
modlę się i składam hołd,
Weź ten dzień, uczyń go Twym,
i we mnie miłość wznieć.
*
Ave Maria,
gratia plena,
Dominus tecum,
benedicta tu =
2.
Wszystko Tobie daję,
każdy sen i każdą myśl.
Matko Boga, Matko moja,
wznieś je przed Pana tron!
*
Ave Maria...
3.
Gdy klęczę przed Tobą,
widzę Twą radosną twarz.
Każda myśl, każde słowo,
niech spocznie w dłoniach Twych.
*
Ave Maria..."
Gdy się Chrystus rodzi;6;Pieśni na Boże Narodzenie;313;B;0/0/0/0/0/0;"1.
Gdy się Chrystus rodzi i na świat przychodzi,
ciemna noc w jasności promienistej brodzi.
Aniołowie się radują, pod niebiosy wyśpiewują:
„Gloria, gloria, gloria in excelsis Deo!”.
2.
Mówią do pasterzy, którzy trzód swych strzegli,
aby do Betlejem czym prędzej pobiegli,
bo się narodził Zbawiciel, * wszego świata Odkupiciel. 
„Gloria, gloria, gloria in excelsis Deo!”.
3.
„O niebieskie Duchy i posłowie nieba,
powiedzcież wyraźniej, co nam czynić trzeba;
bo my nic nie pojmujemy, * ledwo od strachu żyjemy”.
„Gloria, gloria, gloria in excelsis Deo!”"
Gdy się łączą ręce dwie;2;;;C;1/1/1/1/1/ślubne;"1.
Gdy się łączą ręce dwie w Imię Boże,
Przed ołtarzem uroczystym w blasku świec.
Wtedy zwykła ludzka miłość jest potęgą,
Bo z miłością Jego wieczną splata się.
2.
Kiedy łączysz serca dwa w Imię swoje
I związujesz między nimi mocną nić.
Błogosławisz swoim dzieciom na wędrówkę,
Pokazujesz, co to znaczy umieć żyć.
3.
Pójdą odtąd na radości i na smutki,
Zawsze razem, przy nim – ona, przy niej – on
Twoja łaska szlak im będzie wyznaczała
I obroni od drapieżnych świata szpon."
Gdy śliczna Panna;6;Kolędy domowe;315;F;0/0/0/0/0/0;"1.
Gdy śliczna panna syna kołysała, * z wielkim weselem tak jemu śpiewała
Lili lili laj, moje Dzieciąteczko * lili lili laj, śliczne Paniąteczko
2.
Wszystko stworzenie, śpiewaj Panu swemu, * pomóż w radości wielkiej sercu memu.
Lili lili laj, wielki królewiczu, * Lili lili laj, niebieski dziedzicu.
3.
Sypcie z nieba liczni aniołowie, * śpiewajcie Panu niebiescy duchowie.
Lili lili laj, mój wonny kwiateczku, * Lili lili laj, w ubogim żłobeczku."
Gdy trwoga nas ogarnie;3;Pieśni ku czci NMP;316;C;0/0/0/0/1/Do MB Nieustającej Pomocy;"1.
Gdy trwoga nas ogarnie
Matko, wspomóż nas
I w smutku skróć cierpienia
Matko, wspomóż nas
*
Matko, Ty wspomagaj nas
nieustannie w każdy czas,
nieustannie w każdy czas!
2.
Gdy wiarę tracim żywą,
Matko, wspomóż nas!
Nadzieję wzbudź prawdziwą;
Matko, wspomóż nas! 
*
Matko, Ty wspomagaj nas…
3.
Gdy miłość gaśnie w duszy,
Matko, wspomóż nas!
Niech głos nasz Ciebie wzruszy;
Matko, wspomóż nas! 
*
Matko, Ty wspomagaj nas…
4.
W pokusy złej godzinie,
Matko, wspomóż nas!
Kto wzywa Cię, nie zginie;
Matko, wspomóż nas! 
*
Matko, Ty wspomagaj nas…
5.
Gdy śmierć się do nas zbliży,
Matko, wspomóż nas!
Do nieba wprowadź wyżyn;
Matko, wspomóż nas! 
*
Matko, Ty wspomagaj nas…"
Gdzie miłość wzajemna;1;Pieśni mszalne;324;d;0/1/0/0/0/0;"*
Gdzie miłość wzajemna i dobroć
Tam znajdziesz Boga żywego
**
1.
W jedno nas tu zgromadziła miłość Chrystusa
Weselmy się w Nim i radujmy
*
Gdzie miłość wzajemna i dobroć…
2.
Z pokorą szczerą miłujmy Boga
Z czystego serca miłujmy się nawzajem 
*
Gdzie miłość wzajemna i dobroć…
3.
Skoro się wszyscy tu gromadzimy
Strzeżmy się tego, co nas rozdziela 
*
Gdzie miłość wzajemna i dobroć…
4.
Niech ustaną wszystkie gniewy i spory
A pośrodku nas niech będzie Chrystus 
*
Gdzie miłość wzajemna i dobroć…
5.
Obyśmy oglądali Twoje oblicze, Chryste Boże
Razem ze świętymi w chwale Twego Królestwa 
*
Gdzie miłość wzajemna i dobroć…
6.
To będzie naszą radością czystą i bez granic
Przez nieskończone wieki wieków, amen 
*
Gdzie miłość wzajemna i dobroć…"
Głoś imię Pana;1;Pieśni przygodne;329;D;1/1/0/1/0/0;"1.
Głoś imię Pana, Króla wszechmocy i chwały
Złącz się z chórami niebios, zastępów wspaniałych
Harfa i róg niech zagra „Któż jest jak Bóg”
By krańce ziemi słyszały
2.
Głoś imię Pana, On twoim losem kieruje
Na skrzydłach niesie, jak orzeł się opiekuje
Daj Mu swą dłoń, w przygodzie zawołaj doń
On cię od zła zachowuje
3.
Głoś imię Pana, razem ze wszystkim, co żyje
On twoim światłem, Jemu niech serce twe bije
On życiem twym, wdzięczności śpiewaj mu hymn
Teraz i na wieki, amen"
Golgota;7;;337;g;0/0/1/0/0/0;"1.
Golgoto, Golgoto, Golgoto.
W tej ciszy przebywam wciąż rad,
W tej ciszy daleki jest świat.
Ty koisz mój ból, usuwasz mój strach,
Gdy widzę Cię Zbawco przez łzy.
*
To nie gwoździe Cię przybiły, lecz mój grzech.
To nie ludzie Cię skrzywdzili, lecz mój grzech.
To nie gwoździe Cię trzymały, lecz mój grzech.
Choć tak dawno to się stało, widziałeś mnie.
2.
Golgoto, Golgoto, Golgoto
Ja widzę Cię, Zbawco mój, tam,
Tak wiele masz sińców i ran.
Miłości Twej moc zawiodła Cię tam,
Uwolnić mnie z grzechów i win
*
To nie gwoździe Cię przybiły, lecz mój grzech…
3.
Golgoto, Golgoto, Golgoto
Tak często wspominam ten dzień,
Golgotę i słodki jej cień,
Gdy przyszłem pod krzyż z ciężarem mych win,
Uwolnił mnie tam Boży Syn.
*
To nie gwoździe Cię przybiły, lecz mój grzech…"
Gore gwiazda;6;;338;d;0/0/0/0/0/0;"1.
Gore gwiazda Jezusowi w obłoku, w obłoku
Józef z Marią asystują przy boku, przy boku
*
Hejże ino dyna, dyna,
narodził się Bóg dziecina
W Betlejem, w Betlejem=
2.
Wół i osioł w parze służą przy żłobie, przy żłobie
Huczą, buczą delikatnej osobie, osobie
*
Hejże ino…
3.
Pastuszkowie z podarunki przybiegli, przybiegli
W koło szopę o północy oblegli, oblegli
*
Hejże ino…
4.
Anioł Pański sam ogłosił te dziwy, te dziwy
Których oni nie słyszeli jak żywi, jak żywi
*
Hejże ino…"
Gorzkie żale;7;Nabożeństwa;0;d/g/D/a/d;0/0/0/0/0/0;
Gwiazdo śliczna, wspaniała;3;Pieśni ku czci NMP;352;C;0/0/1/1/0/0;"1.
Gwiazdo śliczna wspaniała,
Częstochowska (Kalwaryjska) Maryjo,
do Ciebie się uciekamy,
o Maryjo, Maryjo!
2.
Słyszeliśmy wdzięczny głos,
jak Maryja woła nas:
„Pójdźcie do mnie, moje dzieci,
przyszedł czas, ach! przyszedł czas”.
3.
Gdy ptaszkowie śpiewają,
Maryję wychwalają,
słowiczkowie wdzięcznym głosem,
śpiewają, ach! śpiewają.
4.
I my też zgromadzeni
pokłon dajmy Maryi,
czyste serce Bożej Matce
darujmy, ach! darujmy.
5.
O przedrogi klejnocie,
Maryjo, na tym świecie!
Kto Ciebie ma, ten się z Tobą
raduje, ach! raduje.
6.
Jak szczęśliwy tron Boży,
Pannie Maryi służy,
cherubiny, serafiny
śpiewają, ach! śpiewają.
7.
O Maryjo, Maryjo!
Tyś pomocą jedyną.
Dusza ma się w moim ciele
raduje, ach! raduje.
8.
Ty się przyczyń za nami,
o Częstochowska (Kalwaryjska) Pani,
Niech się nad nami zmiłuje
Twój Synaczek kochany.
9.
O Ty, Pani Anielska,
Maryjo Częstochowska (Kalwaryjska),
prosimy Cię, dopomóż nam
przyjść tam, gdzie Twój Syn mieszka."
Idźcie na cały świat;1;Pieśni przygodne;370;d;1/1/0/0/0/0;"*
Idźcie na cały świat
I nauczajcie wszystkie narody
**
1.
Żniwo wprawdzie wielkie
Ale robotników mało
Proście więc Pana żniwa
Żeby wyprawił robotników na żniwo swoje
*
Idźcie na cały świat…
2.
Nie wyście mnie wybrali
Ale Ja was wybrałem
I przeznaczyłem was na to
Abyście szli i owoc przynosili 
*
Idźcie na cały świat…
3.
To wam przykazuję
Abyście się wzajemnie miłowali
Po tym wszyscy poznają, żeście uczniami Moimi
Jeśli będziecie się wzajemnie miłowali 
*
Idźcie na cały świat…
4.
Jak Ojciec Mnie posłał
Tak i Ja was posyłam
Weźmijcie Ducha Świętego
I bądźcie Moimi świadkami aż po krańce ziemi 
*
Idźcie na cały świat…"
Idźmy, tulmy się;3;Pieśni ku czci NMP;375;Es;0/0/1/0/0/0;"1.
Idźmy, tulmy się jak dziatki
do Serca Maryi Matki
czy nas nęka życia trud
czy to winy czerni brud
*
Idźmy, idźmy ufnym krokiem
z rzewnym sercem, z łzawym okiem
Serce to zna dzieci głos
odwróci bolesny cios.
2.
Ach, to Serce dobroć sama
najczulszej z córek Adama
jest otwarte w każdy czas,
samo szuka, wzywa nas
*
Pójdźcie do mnie, dziatki moje
Wyczerpnijcie łaski zdroje
Kto mnie znajdzie, życie ma
temu Syn zbawienie da
3.
To Maryi Serca chwałą
że zgubionym Zbawcę dało
Jemuś winien, świecie, cud
że Bóg zstąpił zbawić lud
*
Pod nim Jezusa nosiła
do niego czule tuliła
wychowała, by Bóg-Syn 
zgładził długi naszych win.
4.
Więc do Ciebie, jak do Matki
idziem, tulim się, Twe dziatki
Matko, ulżyj życia trud
zmyj z serc naszych winy brud
*
Ty nas kochasz, a my Ciebie
niech się z Tobą złączym w niebie
Matko, kto nie kocha Cię
dzieckiem Twym nie zowie się"
Jak miłe przybytki;1;Sakramenty i sakramentalia;386;Es;1/0/1/0/0/0;"1.
Jak miłe przybytki nam dał
Wszechmocny i dobry nasz Bóg
Że sam w nich zamieszkał, wszak chciał
Wieczności zostawić nam próg
*
Oto nasz Boży dom
Pokłonem uczcijmy go wraz
Witaj nam, tu nasz Pan
_Przyjmuje_ nas
2.
Tu ołtarz krynicą wszech łask
Gdzie nie ma dostępu nasz wróg
Tu cichy wszechmocny Twój blask
By życie płynęło bez trwóg
*
Oto nasz Boży dom
Pokłonem uczcijmy go wraz
Witaj nam, tu nasz Pan
_Wysłucha_ nas"
